label,text
pos,LAKERS tonight let's go!!!!
pos,Will the Lakers kick the Nuggets ass tonight?
neg,Oooooooh... North Korea is in troubleeeee! http://bit.ly/19epAH
neg,Wat the heck is North Korea doing!!??!! They just conducted powerful nuclear tests! Follow the link: http://www.msnbc.msn.com/id/30921379
neg,Listening to Obama... Friggin North Korea...
neg,"I just realized we three monkeys in the white Obama.Biden,Pelosi . Sarah Palin 2012"
neg,@foxnews Pelosi should stay in China and never come back.
neg,Nancy Pelosi gave the worst commencement speech I've ever heard. Yes I'm still bitter about this
neg,ugh. the amount of times these stupid insects have bitten me. Grr..
pos,Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p
neg,Just got barraged by a horde of insects hungry for my kitchen light. So scary.
pos,Just had McDonalds for dinner. :D It was goooood. Big Mac Meal. ;)
pos,AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =]
pos,Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy.
pos,Could go for a lot of McDonalds. i mean A LOT.
pos,my exam went good. @HelloLeonie: your prayers worked (:
pos,"Only one exam left, and i am so happy for it :D"
neg,Math review. Im going to fail the exam.
neg,Colin Powell rocked yesterday on CBS. Cheney needs to shut the hell up and go home.Powell is a man of Honor and served our country proudly
neg,obviously not siding with Cheney here: http://bit.ly/19j2d
pos,Absolutely hilarious!!! from @mashable:  http://bit.ly/bccWt
pos,@mashable I never did thank you for including me in your Top 100 Twitter Authors! You Rock! (&amp; I New Wave :-D) http://bit.ly/EOrFV
pos,RT @shrop: Awesome JQuery reference book for Coda! http://www.macpeeps.com/coda/ #webdesign
pos,I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them
pos,"Goodby, Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it."
pos,Wow everyone at the Google I/O conference got free G2's with a month of unlimited service
pos,@vkerkez dood I got a free google android phone at the I/O conference. The G2!
pos,"@Orli the G2 is amazing btw, a HUGE improvement over the G1"
pos,"HTML 5 Demos! Lots of great stuff to come! Yes, I'm excited. :) http://htmlfive.appspot.com #io2009 #googleio"
pos,@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!
pos,#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.
pos,"Awesome viral marketing for ""Funny People"" http://www.nbc.com/yo-teach/"
neg,saw night at the museum out of sheer desperation. who is funding these movies?
pos,Night At The Museum 2? Pretty furkin good.
pos,Watching Night at the Museum - giggling.
